sentiment,text,user
"neutral","RT @Hurshal: The Fayetteville Observer Footage of flooding in Fayetteville The Fayetteville Observer Sign up for daily e-mail. Wake up to t…","robinsportsnews"
"positive","RT @Betting521: The American Gaming Association (AGA) has urged Senate Minority Leader Chuck Schumer (D-New York) to abandon his push for t…","robinsportsnews"
"positive","RT @OfficialWRC: Tänak wants continued improvement - https://t.co/Ak4nRjHCUL https://t.co/jthbcfaJPA","Oto_Sports"
"positive","@JamesonCoop all good things! rare to have a bunch of good south florida sports news so let's make it last haha","Terpish"
"neutral","RT @CentralianLink: Generika-Ayala holds sports clinic and exhibition match in CPU | Central Philippine University https://t.co/cXPabwMi4O","fnjalandoon"
"negative","RT @QCountrynews: Saskatchewan RCMP include Manitoba and Alberta in their expanded search for missing six-year-old girl. https://t.co/JkvJ3…","LearningBrandon"
"neutral","https://t.co/8eWjo7LJkB: How former Patriots performed around the NFL this week - https://t.co/8WZJPoVkEj","PatsFans_News"
"neutral","RT @SphiweMasilela2: My name is Sphiwe Masilela. I'm looking for reporter/journalist jobs. I've Diploma in Journalism from TUT with five-ye…","Hlehle_26"
"neutral","RT @Quit3000: 입지 흔들린 바이, 1월에 맨유와 결별 준비 (출처 : 스포탈코리아 | 네이버 스포츠) https://t.co/DPhpleVRtg","evelynut"
"neutral","RT @SphiweMasilela2: My name is Sphiwe Masilela. I'm looking for reporter/journalist jobs. I've Diploma in Journalism from TUT with five-ye…","Sol_Buzuk"
"positive","RT @NIOgov: The Secretary of State is delighted to welcome @statsports’ announcement of 237 new jobs in Newry. This investment will generat…","IanDuncanHMG"
"positive","RT @InvestNI: News | Exciting day for global sports technology firm @statsports as it announces plans to create 237 new jobs in Newry. This…","NewryNews"
"positive","Ticket-tax proposal heads to City Council this week, would be 7 percent on tix to most sports and cultural events i… https://t.co/gsac2v1Lq0","MarkFerenchik"
"positive","RT @Twitter: We’re making it easier to find and watch live broadcasts. Now, when accounts you follow go live, the stream will appear right…","vuyoism"
"neutral","RT @ABSCBNNews: Amidst UP residency, Ricci wades into showbiz https://t.co/yD45ayg48J","heyitsgemma_"
"neutral","RT @USEventing: The final day of competition at @Tryon2018 has arrived! Show jumping will begin at 10:00 a.m:\n\nScores: https://t.co/kfZemSK…","DoverSaddleryUS"
"neutral","RT @limeharu: 180917 #NCT127 #NCT\n[NCT 127, 10월12일 첫 정규앨범 컴백 확정..새 멤버 정우 합류]\n\nNCT 127의 첫 정규 앨범 ‘NCT #127 Regular-Irregular’는 9월 18일부터 각종 음반…","ouMSkQSc5keKRLW"
"neutral","RT @washingtonpost: Analysis: The NFL belongs to Patrick Mahomes now https://t.co/nCEgVYwfij","glezak"
"negative","RT @AthleticsSA: Multi-sports complex to be built on Knox Park in Morphett Vale to support Southern Athletic Club! \n\nIn February, Onkaparin…","Straps_01"
"positive","Knight Riders win Hero CPL title for the 3rd time https://t.co/fxC6ZtOtD2","DNONews"
"neutral","Drewitt, Bae, Prugh Teilen Blei in https://t.co/Xkvkn8fXdi Tour Finals event https://t.co/zf1uZ5nZsX :Auto pickup by wikyou","TranSpoNewsEnDe"
"neutral","RT @USEventing: The final day of competition at @Tryon2018 has arrived! Show jumping will begin at 10:00 a.m:\n\nScores: https://t.co/kfZemSK…","CharlesOwenHats"
"neutral","https://t.co/xkuAKqMBIV","NCCHS_WARHAWKS"
"neutral","バスケ男子不適切な行動で処分‥４選手の謝罪会見に様々な声 https://t.co/fkCmQlUt8R https://t.co/0odUKq0Waj","Yuzuru_Hanyu_ww"
"neutral","大谷が2度目の週間MVPを受賞！...そこで振り返りたい今週の大活躍！ https://t.co/WJocuomPuo https://t.co/QoOrzuMZaQ","Yuzuru_Hanyu_ww"
"neutral","プロ野球で初！eスポーツに「パワプロ」で参戦 https://t.co/bEls4JlUPF https://t.co/TBkF5CHN6I","Yuzuru_Hanyu_ww"
"neutral","https://t.co/tAAzP9N7ki","KMc_Swinney"
"negative","RT @MediaComUK: Whether you're a sports fan or a drama fanatic, the news that @SkyUK and @Channel4 are teaming up to share some of their be…","Campaignmag"
"neutral","RT @SphiweMasilela2: My name is Sphiwe Masilela. I'm looking for reporter/journalist jobs. I've Diploma in Journalism from TUT with five-ye…","HloniAaron"
"neutral","RT @gsport4girls: Leading Weekend Sports News @OfficialCSA @Banyana_Banyana @SuneLuus @kappie777 @SasolSA #GoGirls 📸 @ICC @SAFA_net @Ettien…","DibusengModise"
"neutral","RT @SkySportsBoxing: AJ FIGHT WEEK! All you need to know ahead of @AnthonyFJoshua vs Alexander Povetkin at Wembley Stadium on Saturday, liv…","Ayrton_Lavezzi"
"neutral","RT @limeharu: 180917 #NCT127 #NCT\n[NCT 127, 10월12일 첫 정규앨범 컴백 확정..새 멤버 정우 합류]\n\nNCT 127의 첫 정규 앨범 ‘NCT #127 Regular-Irregular’는 9월 18일부터 각종 음반…","yoong_sujuexo"
"neutral","RT @marisgmedina: Pick up your copy of @thedbk today for some quality coverage of campus news, entertainment and sports 🐢 https://t.co/WbXk…","allhaeleah"
"neutral","ഇന്ത്യൻ ടീമിന് മുന്നറിയിപ്പുമായി ചാപ്പൽ \n#indiancricketteam\nhttps://t.co/fTVdYNSj6X","News18Kerala"
"neutral","두산 야구, 무엇을 어떻게 모방할 수 있을까 [안승호의 PM 6:29] (출처 : 스포츠경향 | 네이버 스포츠) https://t.co/xnMV8W9kSx","JaeHyunYoon"
"positive","New post (Real Madrid news: Gareth Bale asked about Premier League return - here's his answer) has been published o… https://t.co/LYCD4z7S5W","ghdailies"
"neutral","*(Update FTA)*\n\"TEN Sports\"\n\"24 News\"\n\nProtoStar-1/ChinaSat-11 (98.0°E)\nTP.11625 V 2399\nMPEG-2/FTA\nTemporary FTA","FastDishInfo"
"neutral","#News | #Sports | #Biz | #Finance Growing Need for Medical and Recreational Cannabis Looks to Continue Globally… https://t.co/rNjWuarG8C","360WiseNews"
"neutral","RT @xciii_leggo: 마크 `여심 설레는 미소` [MK포토]\nhttps://t.co/pVDNElf09f\n\n[포토] 마크 '보이스도 호리호리'\nhttps://t.co/4vBRQuhfxB\n\n[포토] 마크 '세로로 담기 힘든 훤칠함'\nhttps:…","fangkhao92"
"neutral","2018년 한국프로야구 5등은 LG, 니가 무으라~~~ https://t.co/I13B9fRdYk","chuli372"
"negative","RT @onlyonearchives: ONE will appear as a special guest on JTBC's 'My Mad Beauty Diary 2'. It will be broadcasted on the 20th of September…","_only1private"
"positive","@dalboy81 Thought these bods on sky sports news said he was out on loan ??? They know shit lol","agnostic81"
"neutral","RT @xciii_leggo: 마크 `여심 설레는 미소` [MK포토]\nhttps://t.co/pVDNElf09f\n\n[포토] 마크 '보이스도 호리호리'\nhttps://t.co/4vBRQuhfxB\n\n[포토] 마크 '세로로 담기 힘든 훤칠함'\nhttps:…","Jark0204"
"positive","GoHeels Exclusive: Jones' First Goal Lifts Women's Soccer, Olympic Sports Notes https://t.co/n0rlRPwnyW https://t.co/QSqqknxnrW","TRI_Realtor"
"neutral","On tweetcast morning sports show we tweet ohio sports and sports that are news of that day.","Killavillian2"
"neutral","Some billionaires buy sports teams. Others -- including @JeffBezos &amp; @Benioff --- buy newsrooms.\nHere's the potenti… https://t.co/hlHPGIsNLz","AlannaPetroff"
"neutral","Orioles Become 1st American Pro Sports Team with Braille on Uniforms - Bleacher Report https://t.co/tX2UB3NMRE","DarthDandious"
"positive","RT @LoebVernon: Read my Sep 17 Newsletter featuring the latest news and sports from the Houston Chronicle https://t.co/zKTV4UJVQ0","pas5974"
"neutral","Weve been accused of race baiting while people were trying to mourn a police officer. Ha! The police were race bait… https://t.co/5Je6hdVc2Q","pennie_reese"
"neutral","RT @nikkansports: 宇野昌磨Ｖ３　新ルールに対応も「きつかった」 \n#宇野昌磨 #フィギュアスケート  #ロンバルディア杯\nhttps://t.co/YVFUf3r4uk","P2eFovoGIiYVttH"
"positive","RT @NIOgov: The Secretary of State is delighted to welcome @statsports’ announcement of 237 new jobs in Newry. This investment will generat…","GoldenEyeGavin"
"neutral","Joe Maddon Rips Cubs Catcher Willson Contreras for Failing to Hustle https://t.co/0iXJDj4pE3 https://t.co/4rkFgVuddN","tblug1"
"positive","Euro papers: Barca want Rabiot: Club football is back after the early international break and, although Europe's sp… https://t.co/WAcL8N4pc2","CannockRadio"
"neutral","চোটগ্রস্থ তামিম ফিরছেন মঙ্গলবার https://t.co/SMCkmOUoz5 #BanglaNews #BDNews","banglanews24com"
"positive","RT @Twitter: We’re making it easier to find and watch live broadcasts. Now, when accounts you follow go live, the stream will appear right…","feizeldaniels"
"neutral","RT @demas6Basket: Stephon Marbury: ''Zion Williamson tiene la oportunidad de ser mejor que Michael Jordan. Zion destrozará todo el planeta…","juampacampos00"
