sentiment,text,user
"negative","My religion professor was taking attendance and dead just said \"Wow this is just like Sundays, don't come to mass,… https://t.co/fCPUPJLhQy","merina_rae"
"negative","RT @WhitfordBradley: My mom wrote this. She hated organized religion -“a bunch of men in funny clothes pretending they know the will of God…","Alelazoo"
"neutral","RT @ronaldvalpo: Islandia prohíbe que se enseñe religión a menores de 21 años https://t.co/fEHyZQGncr","cegonzalezspace"
"negative","RT @ETi_Alien: @Nasty_CSA @Ayanda_T @TeddyMaxx031 @Rowlene_SA @1audiomarc My future #Mentors🙌 👁️V🌞my RELIGION🙏 https://t.co/qZYQMoCv74","Lemisa13"
"neutral","報ステで安倍の表情を観ていたら、なぜか聴きたくなった\n\nR.E.M. - Losing My Religion (Official Music Video) https://t.co/rnEXNtJAi1 @YouTubeさんから","sowhatdosickie"
"neutral","RT @BilgerPhilippe: Une église faute de fidèles est transformée à #Hambourg en mosquée, un minaret remplacera le clocher @BVoltaire Ce n’es…","xarratt"
"neutral","Politics is not like religion where you must remain and die inside a chosen political party. Tinubu acted courageou… https://t.co/OmxE4LRWG7","Adxpillar"
"neutral","@SmokingSkills_ @rishibagree I doubt anyone knows what is the actual religion of any so called gandhis?","harshadrpatil"
"neutral","RT @DGeldenhuys: @rubycooper007 @LyndaAtchison @Trinityleigh65 @OzraeliAvi Thank you Ruby,I have learned something today. Sounds like a tru…","rubycooper007"
"neutral","@viryavaan Problem is with us Hindus, for everything we look for validation from Goras...i see this every day for m… https://t.co/020tyGVQlJ","BharatPronam"
"neutral","I abandoned religion over 20 years ago so I may be a bit rusty, but I don't think jesus wandered the streets waving… https://t.co/XIET9AyS2u","hockeychelsia"
"positive","It's #ConstitutionDay! I'm grateful that our wise but imperfect Founders decided there would be no religious tests… https://t.co/MKmmoPkpIl","AmandaTylerBJC"
"positive","RT @DrAMSinghvi: Shahrukh Khan celebrating Ganpati is reflective of true Indianness. Anyone asking him not to do so on Social Media that to…","vjviraj96"
"neutral","🔹 La historia del Codex Gigas, el misterioso libro \"escrito por el diablo\" #Religión https://t.co/cjIP7tzMxg","EfectoCognitivo"
"neutral","RT @espinozacuellar: Una mafia que se disfraza de religión debe ser de lo más peligroso de nuestra sociedad. Me refiero a los que se colude…","profelopezp"
"neutral","RT @ana_cosmica: La mejor forma q tiene Jimmy de salirse con la suya es dividir al pueblo: con ideologías políticas o religión, con temas c…","gabriel_vides"
"positive","RT @DrBrianWeiss: Spirituality is about being true to your soul. Are you a kind person, getting joy from your existence, causing no harm, a…","gregbena"
"neutral","Hindu Mythology: Classical Dictionary of Hindu Mythology, History and Religion, Geography, History and Literature… https://t.co/EYPpUvHADa","BoekenWebsiteNL"
"negative","RT @savukku: TTV Dinakaran :  H.Raja is a lunatic. Hindus always respect all religions. They never abuse other religions. Hinduism is a nat…","DravidaThalaiva"
"positive","RT @Kirstenjoyweiss: The shooting sports are gender neutral. \n\nI can compete equally next to a man &amp; we both have an equal chance to win😄…","Steve_B1810"
"positive","The Minister for Justice and Attorney General, @BusingyeJohns , has called on clerics to stick to values that promo… https://t.co/4vdFrNemOQ","mukamana25"
"positive","@DVATW @DavidJoBrexit History is full of violence, I suggest the EU and for that matter the USA start eradicating t… https://t.co/z9ejD0bYd9","TimTannehill"
"positive","@CllrBunting That’s the same freedom of religion you use to close down half the city for the pope and to make sure… https://t.co/T3CzpuUesn","melissa_paur"
"positive","RT @GreatestQuotes: We can live without religion and meditation, but we cannot survive without human affection. - Dalai Lama","MadsnTweet"
"negative","RT @WhitfordBradley: My mom wrote this. She hated organized religion -“a bunch of men in funny clothes pretending they know the will of God…","joealter1"
"positive","RT @BoisTWB: football teaches us how to love , passion n togetherness even though it is different religion , race n culture. https://t.co/4…","Prasety42637319"
"neutral","Progressive Democrats\nRomans 1:30 slanderers, God-haters, insolent, arrogant and boastful; they invent ways of doin… https://t.co/ljaIFkSbNs","DominicSola"
"neutral","RT @liarpoliticians: Why is UK's racist police appeasing one religion? https://t.co/FnrGgDWrH9","youngkippers"
"positive","@troublewithecon @Noahpinion And it's just a lovely depiction of the place where history, legend, myth, religion, a… https://t.co/nK5lRCWnak","asymptosis"
"negative","@mammolitiward7 Religion has nothing to do with politics. You’re out of your bloody mind.","GGallant64"
"positive","@realBrianReid @stephenharper @DavidDreierUSA Do you seriously not understand how establishing Christianity as the… https://t.co/naTFV04V3q","AustinS16539011"
"neutral","@VenezuelaAnons Pero eso es otra cosa. \nHacer una cosa, no entorpece la otra.\nFormar personas en conocimiento críti… https://t.co/mpwxfmtliu","TheNeoSpartan"
"positive","RT @emmaogreen: I've been working on this piece about one of the most popular female Bible teachers in America, Beth Moore, for a long time…","davidbergee"
"neutral","RT @MicheBangtan: I always want media to focus on #BTS but I understand why they write about ARMYs. Especially now. There was every type of…","agustdtbx"
"negative","RT @OSCboston: Yesterday @NancyatOldSouth sat down with J. Bryan Hehir, the Parker Gilbert Montgomery Professor of the Practice of Religion…","HarvardDivinity"
"positive","🔥🎙️Love is Love is false🔥pt2 #ChristianCoffeeTime #faith #christian #bible #jesus #religion #beliefs #spiritual #god https://t.co/6gJtLkytlv","specieshumanoid"
"positive","RT @DrBrianWeiss: Spirituality is about being true to your soul. Are you a kind person, getting joy from your existence, causing no harm, a…","rjgarzaleal"
"neutral","RT @Tharoorian_INC: \"Hinduism is a religion and Hindutva a political project.  Savarkar, who invented the term Hindutva, specifically wrote…","vallabhthanvi"
"neutral","RT @nizmycuba: “They don't subscribe to our sense of morality; they don't believe in an afterlife; they don't believe in a God or religion.…","fedupcitizen16"
"positive","@liarpoliticians Because it will, eventually, be our main , if not only, religion ?","Reprobate24"
"neutral","RT @altrightar: El liberalismo es una religión más. https://t.co/erzmVmHfeD","olitasdmar"
"neutral","@thundermeadows @bruixxxa hmmmmmmmmmmm\n\nmi religión me lo prohíbe? (??","cumefoo"
"negative","@hamskat Majority of the Hindus suffer from Prithviraj syndrome.\nThey never learn.\nMost dangerous elites do almost… https://t.co/0k9v3Y712y","Sneakypete786"
"neutral","RT @Sr_Dios: Os hice a mi imagen y semejanza así que si eres feo búscate otra religión que no eres hijo mío.","JesusCasintra"
"positive","RT @AlienGirlUltra: I’d RATHER BE AN HONEST SINNER THAN A LYING HYPOCRITE.  Fuck Organized Religion and your CLOSED MINDEDNESS. https://t.c…","AlienGirlUltra"
"neutral","@Polydamas @Fournevay @HapsatouSy Quoi ? Je te dis que la meilleure façon de se prémunir d'une religion c'est de n'… https://t.co/MISlU9FYVz","MatFR31"
"neutral","Estar en la pendeja y fingir que estoy trabajando en cuanto escucho que alguien viene es mi religión","soymayv"
"neutral","@BettyBowers And liberals attend to forget that all men are created equal, that they are endowed by their Creator w… https://t.co/hUM2GIctQX","BobPolockRoss"
"positive","RT @JM_Scindia: 125 yrs later, #SwamiVivekanand's words ring truer than ever: “If anybody dreams of the exclusive survival of his own relig…","BTETARWAL"
"neutral","@albertaukii #Religion. Am trying to find a place in the Bible when and where the Pharisees and Sadducees rebuked the Governors or Caesar.","witsdan"
"neutral","@misiameiftowers ¿el Ex-MinSalud? Es que no oigo la W. Mi religión no me lo permite","ferdiaze"
"neutral","@BolzAndrea Da ist natürlich die Frage, führen Sie kriege wegen unterschiedlichen Ansichten der Religion oder wegen… https://t.co/peKpKZNGqK","P_Kirsche"
"positive","RT @RealJamesWoods: These are the Americans who built our great nation. They are the ones derided by the coastal “elites” as “flyover count…","cmoore91255"
"neutral","RT @BilgerPhilippe: Une église faute de fidèles est transformée à #Hambourg en mosquée, un minaret remplacera le clocher @BVoltaire Ce n’es…","pirate1759"
"neutral","RT @ClubEditorial: 🔻 La polémica lista que incluye a la Biblia entre los 20 libros que no debes leer #Religión https://t.co/KvovpR8Gow","Rey7Luis"
"neutral","Y lo peor del caso es que todos, incluyendo a los más \"religiosos\", dependen de la ciencia y de la tecnología.  Se… https://t.co/KN80BdXPey","lopezbetanzos"
"neutral","RT @Sr_Dios: Os hice a mi imagen y semejanza así que si eres feo búscate otra religión que no eres hijo mío.","compromtido22"
"negative","RT @WhitfordBradley: My mom wrote this. She hated organized religion -“a bunch of men in funny clothes pretending they know the will of God…","inmazer67"
"neutral","@FoxFyreKit @treasonstickers Islam is a Abrahamic religion","Corey1911"
"neutral","Overtrædelser af deres nye religion blev ligeså misfortolket bedømt af dem, som den de var modstander af.","LoveSoBob"
"positive","RT @manny_ottawa: 2/ Those who have sinned the most are those who loudly profess their ardent love of their religion:\n\n1. I’ve seen it with…","RickHi2315"
"neutral","@rickygervais If you believe in religion you then believe in the devil.\n\nTry just basing our life on fact not ficti… https://t.co/shWBKAGHbJ","eyeballtall19"
"neutral","RT @nadiamtp: @JGrangan Oùi de religion catholique ... ce sont des européens certes mais ils n’ont jamais fait chier personne pourtant à l’…","JGrangan"
"negative","Riot Fest wrapped up on Sunday with Bad Religion, Suicidal Tendencies, and Fear performing classic albums in full,… https://t.co/e2v9oQejhR","brooklynvegan"
"neutral","RT @mftremblay: Un groupe catholique ultra-conservateur pourrait occuper l'église Saint-Jérôme de Matane, qui est menacée de fermeture. htt…","PascalBerube"
"neutral","Crack for the mind and soul.\nReligion.\n\nMadd Mann","blaqkwan"
"negative","RT @drebandzzzz: religion is weird to me, like i believe there is a higher being of some sort but i also agree and disagree w/ the views of…","yagurlmela"
"neutral","🔻 Por qué el tiempo de vida de los creyentes es mayor que el de los ateos #Religión https://t.co/4pTl7Flh0r","NotaVeraz"
"negative","@iamrajesh_sct Ji intha issue la avan pesurathu correct....if anything​happens for other religion ellarum on senthu… https://t.co/nlSX54A16t","Aravinthpotrays"
"negative","@JaceCledera go on\ncos religion is what??? shit","ginerickk"
"neutral","RT @ClubEditorial: 🔻 La polémica lista que incluye a la Biblia entre los 20 libros que no debes leer #Religión https://t.co/KvovpR8Gow","Luisportoles"
"neutral","They want you DIVIDED.\n\nDIVIDED by RACE.\n\nDIVIDED by RELIGION.\n\nDIVIDED by CULTURE.\n\nDIVIDED by CLASS.\n\nDIVIDED by… https://t.co/779CG8h5Bd","GoldenQFairie"
"neutral","RT @Piureman: Mejor que pedir disculpas, Ud. y su padre no deberían andar escoltados por gánsteres. Es insólito ver las imágenes en que sus…","marita_stappung"
"neutral","@TrumpSniffsCoke @HiCaliberLilGal @ChuckUmeboshi @THETXEMBASSY @BPPope @lacerci65 @finy06 @xwordmark @EvonS777… https://t.co/ZJCOqc76k4","cmccaff100692"
"neutral","See how the United Nations have been using @Auodesk technology to build a safer refugee camp in Bangladesh that cat… https://t.co/DQdEncT3B4","cadspec"
"neutral","@LucyMPowell @Florenceofarabi But if you aren't pro Israel your antisemetic,  nothing but nothing antisemetic in cr… https://t.co/6L57YNlcv5","Stephen10883289"
"neutral","La espiritualidad es lo opuesto a la religión. La religión, implicando que el hombre es divino y que la mujer es su… https://t.co/ClAEHcxu5P","sanarvida"
"neutral","Hiring Managers Cannot Suppress Their Biases in Job Interviews, Study Finds https://t.co/Avps3Rel4l #talent","joegerstandt"
"positive","President and Special Security Liaison Ann Diener Gold and Money Back. Freedom of religion. https://t.co/7eZDV5wjHp","a_diener"
"negative","it makes me sad that woman hate each other for everything\n\ncolor\nreligion\nstatus\nsize\nbeauty\nparenting\nkids\nmen\nmon… https://t.co/DKueaMhOQM","_mindful_mama_"
"neutral","Be suspicious of anyone who brings religion to politics. https://t.co/N2CuvZvuZ6","DBattistella"
"positive","@aiyer_meera @RavinarIN @goyalsanjeev https://t.co/lofMCc8vda .Bishop uses sophisticated English which in short mea… https://t.co/AFJCQEbfxi","pradip1951"
"neutral","RT @JHeubusch: President Reagan didn't wear religion on his sleeve but his faith ran deep. A lost letter discovered 36 years later confirms…","Tenn_Guy"
"neutral","RT @ReligionDigit: #inmatriculaciones La @AndaluciaJunta de Andalucía cree que la @MezquitaCatdral -Catedral de Córdoba debe ser un edifici…","MezquitaCatdral"
"positive","@THEHermanCain There are certain \"flavors\" of Methodism that are no longer a Christian religion.","kingdavidatx"
"positive","RT @DannyinTO: @mammolitiward7 Highly offensive! Religion has no place in politics! Religion is a deeply personal choice and should not be…","alliebonthego"
