sentiment,text,user
"positive","RT @AllisonRFloyd: @TomiLahren You support a man who brags about sexually assaulting women. You don’t get to weigh in on female empowerment…","abigailkjohnso5"
"positive","I and all Indian are with you Sister, we will fight for uniform Civil code together, we cannot achieve developed na… https://t.co/E86LQsPsBq","Msdianyash"
"neutral","RT @unwomenafrica: Day 1 of the @UN_Women  WCARO Deputy RD visit to Guinea Bissau. Meeting with Civil society Organization to discuss Women…","Survivorexit"
"positive","RT @NobelWomen: Join @IMPACTtransform on Sept 27 in #Ottawa for a unique opportunity to meet two women artisanal gold miners from #Congo wh…","EfNFus"
"neutral","RT @StephLoffredo: Hooha got a shout-out on the @UN floor for @IdeagenGlobal's women's  empowerment summit last Friday—we're launching a sm…","womentechbot"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","Firstwives_"
"positive","RT @unwomen_pak: In a bid to advance women’s empowerment initiatives and support the signing of 'Women's Economic Principles' by Engro Ener…","Zainab_Iqbal412"
"positive","@paullamontagne Proud to be part of this historic event! #FinDevCanada will be instrumental in catalyzing investmen… https://t.co/j9VT9X6l04","DianadeCastro6"
"positive","RT @unwomen_pak: In a bid to advance women’s empowerment initiatives and support the signing of 'Women's Economic Principles' by Engro Ener…","socialist_idyll"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","eewfeelings_"
"neutral","@jackieaina Could you please do a video with @YvonneOrji and talk about career advice, women empowerment, etc.? 🤗💕","cmsaints"
"neutral","سنتواجد في #نيويورك قريباً للإعلان عن إحدى مبادراتنا نحو تمكين المرأة.\n\nترقبونا.\n\nArriving in #NewYork soon to anno… https://t.co/2qyfxi1eos","alwaleed_______"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","AdKabiir"
"positive","The World Seems Full of “Lady Bosses.” But What Are They Actually Running? https://t.co/4QGrfqesvb","bishosy"
"neutral","RT @BSangafowaCoul: At #T20Summit  session on women inclusion... regrettably audience is overwhelmimgly female. We will make decisive progr…","ValerieRWilson"
"neutral","#Indian #Indians #victims Women's bible Site: Mumbai Terrorist #Attack:Will India Shining go https://t.co/gY0ZKBR5Tj https://t.co/YMJHh9R9Mf","FaithAtheismNub"
"neutral","RT @unwomenafrica: Day 1 of the @UN_Women  WCARO Deputy RD visit to Guinea Bissau. Meeting with Civil society Organization to discuss Women…","moisomedrano"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","imrankhan0990"
"positive","RT @gymstatuz: @TomiLahren I thought female empowerment was about women making their own money. It seems to be about being a whore &amp; taking…","jamespiccolino"
"positive","#politics 1 book 150 sub insight site:BJP wins state election &amp; Trump congratulates Modi why https://t.co/4dAzjSBxud https://t.co/AefEVLvUCf","ModernWorldCen"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","m_imranwasim"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","IamTeamPM_IK"
"neutral","RT @ChugoshviliMP: Women empowerment - this is what matters #PACEMonitoringCommittee meeting in Tbilisi. Grape-harvesting and wine tasting…","mariannemikko"
"negative","@TomiLahren Female empowerment is not turning a victim into a villain esp when the rights of ALL women r at stake","marybeary515"
"positive","RT @albd1971: #Women empowerment and development under HPM #SheikhHasina - #Bangladesh the second most gender equal country in #Asia accord…","JohoraRahman"
"neutral","@TomiLahren Didn't you get fired for speaking out on women's empowerment issues? You think you'd be for all about w… https://t.co/s03NTf5Td5","bigshelds"
"neutral","RT @nkemokocha: @mamamoninigeria we #Endpoverty through empowerment ( #Accesstofinance #financialliteracy #SkillsDevelopment ) of low-incom…","MamamoniF"
"positive","RT @SWSGBoston: Had a great night yesterday at the #PowerofShe Panel hosted by @Athleta_Newbury ! Thank you to Elaine Stokes, chair of our…","BostonWomen"
"neutral","I'm Possible Women's Empowerment Conference ~ Empowering and educating female entrepreneurs.… https://t.co/a2Yq7HCoIx","WOBCCentral"
"neutral","@1abhishekkamal In india we r taking about women empowerment and beti bachao aur padhao but we have to start anothe… https://t.co/Z2ruOqV0S9","Lucky47685954"
"positive","@TomiLahren I thought female empowerment was about women making their own money. It seems to be about being a whore… https://t.co/ZiwatmnMLd","gymstatuz"
"neutral","https://t.co/gTbMHoJAYA https://t.co/gTbMHoJAYA","kingdompowernow"
"neutral","Hooha got a shout-out on the @UN floor for @IdeagenGlobal's women's  empowerment summit last Friday—we're launching… https://t.co/R061qXu6mp","StephLoffredo"
"positive","I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","_amoafoa_"
"neutral","RT @Hesperian: Melissa Smith, Deputy Director of Women’s Health, Gender and Empowerment at the @ucghi shares the launch of @Hesperian's Hea…","ucghi"
"positive","Why is family planning important?\nRights-based #familyplanning increases women’s empowerment in fulfilling their po… https://t.co/DuqfwHV5mw","UNFPAIndonesia"
"neutral","RT @ColorMagazine: Save the date for the upcoming Women of Color Leadership and Empowerment Conference in Pennsylvania featuring Camille Ch…","LeenaPatelLive"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Aeman826"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Outofboxviews"
